        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       37.10               5.016308              39620              713.569300           266.641624           446.927676     
       37.20               5.016308              39686              740.121809           283.130070           456.991739     
       37.30               5.016308              39741              783.043986           263.611013           519.432973     
       37.40               5.016308              39876              778.106777           298.503554           479.603223     
       37.50               5.016308              40023              719.514081           277.331411           442.182670     
       37.60               5.016308              40030              658.592345           203.452702           455.139642     
       37.70               5.016308              40016              677.265304           244.724107           432.541197     
       37.80               5.016308              39961              615.812217           257.569824           358.242393     
       37.90               5.016308              39812              615.889479           258.145683           357.743796     
       38.00               5.016308              39844              618.396625           244.029357           374.367268     
       38.10               5.016308              39740              749.397357           383.035438           366.361920     
       38.20               5.016308              39598              600.258079           346.753571           253.504508     
       38.30               5.016308              39690              634.850952           303.564500           331.286452     
       38.40               5.016308              39638              660.190083           383.296894           276.893189     
       38.50               5.016308              39525              629.379023           306.629588           322.749434     
       38.60               5.016308              39535              769.145958           352.339239           416.806719     
       38.70               5.016308              39592              776.302968           409.562968           366.740000     
       38.80               5.016308              39538              787.482050           431.363759           356.118291     
       38.90               5.016308              39716              809.852110           380.474173           429.377937     
       39.00               5.016308              39780              907.236843           408.572786           498.664057     
       39.10               5.016308              39851              741.528559           376.737765           364.790794     
       39.20               5.016308              39922              670.845908           298.369912           372.475996     
       39.30               5.016308              39844              650.104038           232.850645           417.253393     
       39.40               5.016308              39866              665.576754           260.727977           404.848777     
       39.50               5.016308              39832              713.102701           303.157021           409.945680     
       39.60               5.016308              39868              708.584401           342.045354           366.539048     
       39.70               5.016308              39839              670.177310           370.729643           299.447667     
       39.80               5.016308              39793              713.593688           418.227800           295.365888     
       39.90               5.016308              39652              860.101109           437.076218           423.024891     
       40.00               5.016308              39644              878.262036           441.890613           436.371424     
       40.10               5.016308              39764              749.663992           437.209059           312.454933     
       40.20               5.016308              39669              688.518927           391.218611           297.300316     
       40.30               5.016308              39661              570.940398           304.712638           266.227760     
       40.40               5.016308              39639              689.795834           316.108175           373.687659     
       40.50               5.016308              39609              644.315031           288.818196           355.496836     
       40.60               5.016308              39547              631.002107           298.277635           332.724472     
       40.70               5.016308              39430              613.602365           279.693920           333.908445     
       40.80               5.016308              39454              564.910641           245.228056           319.682585     
       40.90               5.016308              39425              563.203971           273.473029           289.730942     
       41.00               5.016308              39367              520.204739           252.109778           268.094961     
       41.10               5.016308              39539              674.969620           314.117092           360.852528     
       41.20               5.016308              39566              790.717172           418.003897           372.713275     
       41.30               5.016308              39640              684.418558           344.808398           339.610160     
       41.40               5.016308              39630              572.807425           306.477592           266.329833     
       41.50               5.016308              39744              523.900492           290.285975           233.614516     
       41.60               5.016308              39781              581.824172           351.723503           230.100669     
       41.70               5.016308              39791              661.276915           374.132882           287.144033     
       41.80               5.016308              39800              609.442659           362.543291           246.899368     
       41.90               5.016308              39746              599.876579           343.421535           256.455044     
       42.00               5.016308              39853              643.550272           358.336120           285.214153     
       42.10               5.016308              39921              646.064649           409.645598           236.419051     
       42.20               5.016308              39835              700.883570           374.423565           326.460004     
       42.30               5.016308              39728              726.872088           356.927376           369.944712     
       42.40               5.016308              39703              745.818261           385.200137           360.618124     
       42.50               5.016308              39778              697.585400           410.886917           286.698483     
       42.60               5.016308              39732              743.188226           382.835956           360.352269     
       42.70               5.016308              39719              743.741611           360.313110           383.428501     
       42.80               5.016308              39592              753.407463           349.253792           404.153672     
       42.90               5.016308              39653              676.653772           269.743346           406.910425     
       43.00               5.016308              39761              667.980731           267.356118           400.624613     
       43.10               5.016308              39914              531.370625           227.584447           303.786178     
       43.20               5.016308              39918              396.652644           191.770718           204.881926     
       43.30               5.016308              39890              491.042578           227.755711           263.286867     
       43.40               5.016308              39887              669.871437           355.140610           314.730827     
       43.50               5.016308              39973              598.787720           334.408993           264.378727     
       43.60               5.016308              39933              556.006765           375.662473           180.344293     
       43.70               5.016308              40016              595.914095           329.150796           266.763298     
       43.80               5.016308              39990              580.725965           282.717270           298.008696     
       43.90               5.016308              39928              582.329907           270.134779           312.195128     
       44.00               5.016308              39852              783.584815           347.303986           436.280829     
       44.10               5.016308              39788              826.643660           399.659290           426.984370     
       44.20               5.016308              39826              756.451996           473.690604           282.761393     
       44.30               5.016308              39670              767.784127           440.843352           326.940775     
       44.40               5.016308              39595              658.285832           341.389503           316.896329     
       44.50               5.016308              39609              704.612811           334.662201           369.950610     
       44.60               5.016308              39603              742.377219           348.816077           393.561142     
       44.70               5.016308              39717              790.492796           425.249913           365.242884     
       44.80               5.016308              39534              843.328957           394.700124           448.628833     
       44.90               5.016308              39629              843.233258           431.685839           411.547418     
       45.00               5.016308              39614              775.172968           344.249604           430.923364     
       45.10               5.016308              39612              819.515823           376.694536           442.821287     
       45.20               5.016308              39715              820.344273           441.454117           378.890156     
       45.30               5.016308              39691              742.636779           377.693534           364.943246     
       45.40               5.016308              39656              754.790499           383.994341           370.796158     
       45.50               5.016308              39694              780.024458           398.879877           381.144580     
       45.60               5.016308              39718              859.548121           472.794647           386.753475     
       45.70               5.016308              39631              906.158814           483.149492           423.009321     
       45.80               5.016308              39515              871.727225           435.189971           436.537254     
       45.90               5.016308              39400              900.303082           419.749215           480.553867     
       46.00               5.016308              39340              862.360869           461.648779           400.712090     
       46.10               5.016308              39390              827.451952           426.460344           400.991608     
       46.20               5.016308              39279              710.099090           344.018923           366.080167     
       46.30               5.016308              39214              782.568524           367.746688           414.821835     
       46.40               5.016308              39210              862.872596           436.458010           426.414586     
       46.50               5.016308              39332              783.492993           352.346065           431.146928     
       46.60               5.016308              39308              739.889110           364.711942           375.177168     
       46.70               5.016308              39282              712.923161           376.201874           336.721287     
       46.80               5.016308              39202              791.676414           480.286256           311.390159     
       46.90               5.016308              39242              666.410541           400.009396           266.401145     
       47.00               5.016308              39197              540.996286           291.169759           249.826527     
       47.10               5.016308              39151              636.117169           370.098991           266.018178     
       47.20               5.016308              39334              671.599178           389.508258           282.090921     
       47.30               5.016308              39306              651.493579           354.353437           297.140143     
       47.40               5.016308              39420              719.729055           310.870821           408.858234     
       47.50               5.016308              39512              691.333761           246.222471           445.111290     
