        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       37.80               5.016308              29905             2664.957752           87.633703           2577.324049     
       37.90               5.016308              29877             2662.621605           102.912658          2559.708947     
       38.00               5.016308              29703             2779.061145           85.750525           2693.310620     
       38.10               5.016308              29735             2672.815185           76.049623           2596.765563     
       38.20               5.016308              29523             2714.502469           74.805675           2639.696794     
       38.30               5.016308              29480             2908.184105           55.126703           2853.057402     
       38.40               5.016308              29220             3019.619494           100.469187          2919.150307     
       38.50               5.016308              29298             3060.480562           151.943819          2908.536744     
       38.60               5.016308              29406             3128.905252           151.421123          2977.484130     
       38.70               5.016308              29046             3139.662713           96.053027           3043.609687     
       38.80               5.016308              29177             3022.831618           46.771640           2976.059977     
       38.90               5.016308              28672             2835.029454           32.648200           2802.381254     
       39.00               5.016308              28331             2677.788018           26.446543           2651.341475     
       39.10               5.016308              28601             2771.193449           27.473501           2743.719948     
       39.20               5.016308              28549             2883.545865           28.308819           2855.237045     
       39.30               5.016308              28395             3095.789267           73.217937           3022.571330     
       39.40               5.016308              28064             3091.200496           96.383302           2994.817194     
       39.50               5.016308              28276             3236.193896           109.432152          3126.761743     
       39.60               5.016308              28166             3163.779283           106.805535          3056.973748     
       39.70               5.016308              27968             3122.966215           120.256161          3002.710054     
       39.80               5.016308              27974             3109.352502           133.929247          2975.423255     
       39.90               5.016308              28198             3284.126150           106.319121          3177.807029     
       40.00               5.016308              28598             3160.471249           77.954739           3082.516511     
       40.10               5.016308              28907             3190.301941           97.223513           3093.078428     
       40.20               5.016308              28942             3185.209259           78.336977           3106.872283     
       40.30               5.016308              28336             3028.852799           61.791715           2967.061083     
       40.40               5.016308              28458             2921.691841           68.629166           2853.062675     
       40.50               5.016308              28550             2861.393505           71.979763           2789.413742     
       40.60               5.016308              28315             2877.113722           98.806661           2778.307061     
       40.70               5.016308              28608             2801.915400           76.581347           2725.334053     
       40.80               5.016308              28332             3083.718672           126.471168          2957.247504     
       40.90               5.016308              28248             3099.578070           120.557891          2979.020178     
       41.00               5.016308              28372             3131.223283           121.611859          3009.611424     
       41.10               5.016308              28164             2791.796486           132.768197          2659.028289     
       41.20               5.016308              28252             2778.058016           105.046472          2673.011544     
       41.30               5.016308              27863             2980.388809           102.555840          2877.832969     
       41.40               5.016308              27822             3025.316886           126.545806          2898.771080     
       41.50               5.016308              27922             2930.515601           111.081549          2819.434053     
       41.60               5.016308              27701             3099.970687           77.902098           3022.068589     
       41.70               5.016308              27417             3086.918570           76.219930           3010.698641     
       41.80               5.016308              27543             3170.948507           46.083639           3124.864868     
       41.90               5.016308              27370             3178.526782           40.822605           3137.704177     
       42.00               5.016308              27382             3358.076182           65.396152           3292.680029     
       42.10               5.016308              27279             3326.206533           81.492940           3244.713592     
       42.20               5.016308              27080             3296.341858           83.160352           3213.181506     
       42.30               5.016308              26884             3393.420846           105.986001          3287.434846     
       42.40               5.016308              26604             3531.816649           53.605368           3478.211281     
       42.50               5.016308              26976             3258.495935           66.541978           3191.953957     
       42.60               5.016308              26633             3258.916840           49.674425           3209.242415     
       42.70               5.016308              26868             3055.120120           45.060587           3010.059533     
       42.80               5.016308              26775             3108.249249           89.928904           3018.320345     
       42.90               5.016308              26934             3076.635771           94.021301           2982.614470     
       43.00               5.016308              26640             3232.199312           90.862169           3141.337143     
       43.10               5.016308              26825             3359.241707           62.799503           3296.442204     
       43.20               5.016308              26844             3329.751518           92.922902           3236.828616     
       43.30               5.016308              27421             3110.248835           83.589877           3026.658958     
       43.40               5.016308              26758             3054.919875           51.994979           3002.924895     
       43.50               5.016308              26963             2914.635665           35.275863           2879.359802     
       43.60               5.016308              27151             3041.156546           49.678040           2991.478506     
       43.70               5.016308              27519             3037.332026           49.481746           2987.850281     
       43.80               5.016308              27583             3005.420324           75.418395           2930.001929     
       43.90               5.016308              27778             3159.081523           77.388007           3081.693516     
       44.00               5.016308              27606             3042.235747           65.295723           2976.940024     
       44.10               5.016308              27880             3171.778388           100.578332          3071.200057     
       44.20               5.016308              27814             2934.080104           67.821645           2866.258459     
       44.30               5.016308              27719             2948.643960           52.899692           2895.744268     
       44.40               5.016308              27929             2794.989785           58.812229           2736.177556     
